IKASHOP_MONEY_INPUT_DIALOG_TITLE	Insert Price
IKASHOP_QUESTION_DIALOG_CONTINUE_TEXT	Continue
IKASHOP_QUESTION_DIALOG_CANCEL_TEXT	Cancel
IKASHOP_BUSINESS_BOARD_TITLE	Trade Hub
IKASHOP_BUSINESS_SAFEBOX_OPEN_BUTTON_TEXT	Open Safebox Board
IKASHOP_BUSINESS_PRIVATE_OFFER_OPEN_BUTTON_TEXT	Open Private Offers Board
IKASHOP_BUSINESS_AUCTION_OPEN_BUTTON_TEXT	Open Auction Board
IKASHOP_BUSINESS_SEARCH_SHOP_BUTTON_TEXT	Open Search Shop (|Eemoji/key_ctrl|e + S)
IKASHOP_BUSINESS_DURATION_INCREASE_BUTTON_TEXT	Restore Duration
IKASHOP_BUSINESS_CANCEL_SHOP_BUTTON_TEXT	Cancel Shop
IKASHOP_BUSINESS_SHOP_EXPIRED_DURATION	|cFFFF9999|hExhausted duration|r
IKASHOP_BUSINESS_INVALID_ITEM_PRICE	Inserted an invalid price.
IKASHOP_BUSINESS_INCREASE_DURATION_NO_MONEY	You don't have enough money to complete the request.
IKASHOP_BUSINESS_INCREASE_DURATION_QUESTION	The operation will cost |cFFFFFF99|h{}|r. Do you want to continue?
IKASHOP_BUSINESS_CANNOT_SELL_ITEM	You cannot sell this item.
IKASHOP_BUSINESS_CANNOT_SELL_ITEM_EXPIRED_SHOP	The store is closed. You cannot sell items.
IKASHOP_BUSINESS_CANNOT_SELL_ITEM_NO_SPACE	You have run out of available space. Unable to sell the item.
IKASHOP_BUSINESS_SELL_ITEM_TOOLTIP	|Eemoji/key_rclick|e Sell Item
IKASHOP_BUSINESS_EDIT_ITEM_TOOLTIP	|Eemoji/key_lclick|e + |Eemoji/key_shift|e Edit Price
IKASHOP_BUSINESS_REMOVE_ITEM_TOOLTIP	|Eemoji/key_rclick|e Remove Item
IKASHOP_BUSINESS_CANCEL_SHOP_QUESTION	All items that cannot be placed in your Inventory will be moved to the Shopping Safebox. Do You want to continue?
IKASHOP_BUSINESS_NO_AUCTION_CREATE_AUCTION_QUESTION	You do not own any auctions. Would you like to create an Auction now?
IKASHOP_SAFEBOX_BOARD_TITLE	Shopping Safebox
IKASHOP_SAFEBOX_CLAIM_MONEY_BUTTON_TEXT	Claim Money
IKASHOP_SAFEBOX_CLAIM_ITEMS_BUTTON_TEXT	Claim Items
IKASHOP_SAFEBOX_CLAIM_ITEM_TOOLTIP	|Eemoji/key_lclick|e Claim Item
IKASHOP_SAFEBOX_CLAIM_ALL_ITEMS_QUESTION	Do you want to transfer all items to your inventory?
IKASHOP_AUCTION_BOARD_TITLE	Auction
